feature,low_mean,low_std,high_mean,high_std,mean_diff,t_statistic,p_value,cohens_d,significant
first_person,1.6812339331619537,1.499048262228524,0.888353765323993,1.1651180592596475,0.7928801678379607,20.088613927138734,6.0496761329375966e-86,0.5905970258393319,True
first_person_per_100words,2.2574308878182685,1.8622742267081882,1.2741434814924844,1.4582814198763019,0.9832874063257842,19.99636984255999,3.2257632627137423e-85,0.5879075178097639,True
unique_word_ratio,0.6494651863284641,0.08442487167015625,0.6775473042786303,0.08601490884604492,-0.02808211795016624,-11.191892713312308,1.0446781709526714e-28,-0.3295110559432805,True
first_person_plural,0.22664952870608399,0.619278403404386,0.45928196147110334,0.7938062616868018,-0.23263243276501935,-11.085378976450956,3.5356096583212674e-28,-0.32677185936195075,True
first_person_plural_per_100words,0.3221597215188941,0.93318926977108,0.6585076129721691,1.168231328148644,-0.336347891453275,-10.793552144505101,8.036175312624572e-27,-0.3181310149034324,True
avg_word_length,4.748195701345845,0.6034554850880202,4.950945694138974,0.6756082470504593,-0.20274999279312844,-10.745380986304525,1.2997053565956626e-26,-0.31652554045033815,True
word_count,74.49400171379605,21.34939495543493,69.4430823117338,21.452688962091866,5.050919402062249,8.016786690238202,1.3643673368759836e-15,0.23601209247725513,True
meta_count,1.8153384747215082,1.270826651495486,1.5359019264448337,1.310414975855168,0.2794365482766745,7.352563387547481,2.2892700060660475e-13,0.21648782227754335,True
math_term_count_per_100words,0.8520536776282185,1.3407312115606584,1.1133205072132788,1.547772165574227,-0.2612668295850603,-6.124502759651181,9.873381310308637e-10,-0.1804382536041624,True
restatement_count,0.10796915167095116,0.3225273573212311,0.05779334500875657,0.23891472225278657,0.05017580666219459,6.014782040183903,1.9509094022244653e-09,0.17678931360135144,True
restatement_count_per_100words,0.13634284742657418,0.427870849073527,0.08342877083202688,0.3582894151160268,0.052914076594547305,4.55917899812345,5.271429300592005e-06,0.13408978653260975,True
math_term_count,0.578834618680377,0.9109903154400381,0.7005253940455342,0.9036701217451129,-0.12169077536515716,-4.556015066078773,5.347834611503274e-06,-0.13411851911991834,True
verification_count_per_100words,1.1309364726694653,0.8923864284511522,1.269377317047156,1.1553282818884751,-0.13844084437769077,-4.549435708422421,5.527424527936076e-06,-0.13411382687890713,True
meta_count_per_100words,2.5487036019855824,2.0014486877897433,2.294658059461265,2.160404837414995,0.25404554252431755,4.142250319078349,3.501238483016946e-05,0.1219939379915862,True
hedging_count_per_100words,0.04323733246953038,0.22226321551835998,0.07457712367439778,0.29530805063078586,-0.0313397912048674,-4.067249674337842,4.843525192213345e-05,-0.1199149627695089,True
step_count,0.3269065981148243,0.6756793102241242,0.2583187390542907,0.6275881417285861,0.0685878590605336,3.574366355572422,0.0003546767360247354,0.10518364510641835,True
char_count,352.39888603256213,106.80405870926008,341.51532399299475,109.1805540051937,10.88356203956738,3.422769311269917,0.0006252662347752689,0.1007748018592047,True
hedging_count,0.03984575835475578,0.20206129758885988,0.06217162872154115,0.2414670107978562,-0.02232587036678537,-3.403085387025378,0.0006721862820669422,-0.10027893299911123,True
step_count_per_100words,0.42333615814424175,0.8486128132018037,0.3487114020954067,0.8369825660569137,0.07462475604883506,3.007870502186639,0.002645042093773002,0.0885419842726711,True
avg_sentence_length,16.201172220500624,9.499771375274616,15.38770326409337,9.564281018838859,0.8134689564072541,2.898776806966416,0.003763886876487918,0.08534012416431153,True
exclamation_count_per_100words,0.10624182220237838,0.5948336059764416,0.14182815321191503,0.6821182139303058,-0.03558633100953665,-1.887487560693485,0.059159012545889726,-0.055606619578958294,False
question_count,0.00856898029134533,0.10519623070963838,0.00394045534150613,0.06264924702825826,0.0046285249498392005,1.8207091170635918,0.06872932552855726,0.05346133117638523,False
verification_count,0.8341902313624678,0.6462705677653579,0.8704028021015762,0.7709818237816021,-0.03621257073910833,-1.7275645111359013,0.08413578659592431,-0.050905795589109105,False
question_count_per_100words,0.008065932943843647,0.10517751328319062,0.0037704688460024754,0.06570421037610184,0.0042954640978411715,1.667890625520062,0.09541717611835669,0.048984205098279124,False
has_bullets,0.8676092544987146,0.3389150867206994,0.8507005253940455,0.35638341921074335,0.016908729104669118,1.6511707737471422,0.09877208402344453,0.0486219808399646,False
sentence_count,5.230505569837189,2.084749784470723,5.140105078809107,2.0440814540300876,0.09040049102808201,1.4875663584008487,0.13693359537784375,0.04378774564828167,False
exclamation_count,0.09125964010282776,0.4974492333745832,0.10507880910683012,0.49902755075856775,-0.01381916900400236,-0.9421372350132833,0.34617171685802806,-0.027736023336979367,False
