model,feature,low_mean,low_std,high_mean,high_std,mean_diff,t_statistic,p_value,cohens_d,significant
Claude Sonnet,first_person,1.9548872180451127,1.408164494268808,0.45751633986928103,0.685869784174897,1.4973708781758317,19.31594427325132,4.7485241623681065e-64,1.3519639237553038,True
Claude Sonnet,first_person_per_100words,2.656191417398175,1.8805902760319466,0.7130576139677262,1.1733194958940711,1.9431338034304488,17.818797768083527,4.170336379296891e-58,1.2397414824066855,True
Claude Sonnet,first_person_plural,0.15789473684210525,0.43944779537451,0.7124183006535948,1.0395650335652364,-0.5545235638114896,-10.39665052376306,1.7396556889226377e-23,-0.6948366320809239,True
Claude Sonnet,first_person_plural_per_100words,0.22881328261528952,0.6401169761316075,1.035613628484819,1.5144269933897403,-0.8068003458695294,-10.38365971800131,1.9547963130739275e-23,-0.6939670693328602,True
Claude Sonnet,meta_count,1.619047619047619,1.09463860677243,0.9934640522875817,1.0257898727745596,0.6255835667600373,8.586479945198558,4.4601739960096144e-17,0.5897431314149506,True
Claude Sonnet,meta_count_per_100words,2.227158937158124,1.625000520140697,1.443693494699147,1.4130549256273235,0.7834654424589771,7.4719519839573145,2.085558641817428e-13,0.5145171586210661,True
Claude Sonnet,word_count,73.17543859649123,15.619032739093553,65.33986928104575,16.585093209219888,7.835569315445483,7.112878445435056,2.4118800332304508e-12,0.4864001688206968,True
Claude Sonnet,avg_word_length,4.596609189308155,0.5200040606901606,4.802159992593183,0.6160293458617465,-0.2055508032850284,-5.293214615753762,1.5285484758596562e-07,-0.3605887041591693,True
Claude Sonnet,unique_word_ratio,0.6383594504813149,0.07773298852638497,0.6656082125922135,0.09024953631331453,-0.02724876211089855,-4.745864087717569,2.4325106334941717e-06,-0.3235269213181221,True
Claude Sonnet,char_count,336.0676691729323,80.71067752160069,312.93028322440085,87.79538711093538,23.13738594853146,4.015725507380658,6.448284794168273e-05,0.2743754402260836,True
Claude Sonnet,step_count,0.3634085213032581,0.6338523748558056,0.20261437908496732,0.540629953592424,0.1607941422182908,3.961315700673514,8.130205799058717e-05,0.27295432064613623,True
Claude Sonnet,sentence_count,4.93984962406015,1.4754094550645402,4.5359477124183005,1.5677557490786873,0.4039019116418494,3.880098669016768,0.0001124816646631036,0.26532642613219726,True
Claude Sonnet,step_count_per_100words,0.4690336657388309,0.8027794819125466,0.2789294566886881,0.7647817308641458,0.19010420905014275,3.53240788010316,0.0004346132665060903,0.24247650607385782,True
Claude Sonnet,verification_count_per_100words,1.133920928017758,0.8296319387229183,1.3665198287343803,1.3711421141261253,-0.23259890071662226,-3.0451977715056264,0.0024047062800575175,-0.20525705880343664,True
Claude Sonnet,has_bullets,0.8796992481203008,0.3253128970343449,0.8213507625272332,0.383058334230135,0.0583484855930676,2.4097782080681,0.0161723935953386,0.16419519268095412,True
Claude Sonnet,math_term_count_per_100words,1.0963211201938303,1.416923024129757,1.3432234701373227,1.7646697447906456,-0.24690234994349236,-2.2687275478791276,0.023534646576184735,-0.15428790222037903,True
Claude Sonnet,hedging_count,0.05263157894736842,0.22329687826943606,0.0784313725490196,0.26884920001572726,-0.02579979360165119,-1.5333771323473055,0.12555319694683953,-0.10439983292031148,False
Claude Sonnet,hedging_count_per_100words,0.0659174607117943,0.286127578715683,0.0965067935505697,0.33816468148251083,-0.030589332838775393,-1.4334434659735757,0.15209654397745334,-0.0976581652896579,False
Claude Sonnet,exclamation_count_per_100words,0.01595511913860978,0.14451268333176803,0.03568542164576721,0.25328537803659423,-0.019730302507157432,-1.4218943623087055,0.1554753682275619,-0.09568497755134141,False
Claude Sonnet,restatement_count,0.09774436090225563,0.2969686865884436,0.0784313725490196,0.29215028285786937,0.019312988353236027,0.9562039089068985,0.33924582787110535,0.06556347157739909,False
Claude Sonnet,exclamation_count,0.012531328320802004,0.11123980461740425,0.0196078431372549,0.1386483884679505,-0.007076514816452897,-0.8278826976058813,0.4079691219649473,-0.056299804953524435,False
Claude Sonnet,verification_count,0.8345864661654135,0.6030056437823584,0.869281045751634,0.7978140925316146,-0.034694579586220464,-0.722903909843862,0.4699400905621207,-0.049062524484692276,False
Claude Sonnet,avg_sentence_length,16.45122926363528,9.194231713544301,16.11714177253393,9.81747550175245,0.33408749110135005,0.5137743293621614,0.6075431124416726,0.035126579173048796,False
Claude Sonnet,math_term_count,0.8020050125313283,1.0397589801569305,0.8169934640522876,1.006111446007522,-0.01498845152095929,-0.21354399416238568,0.8309550543381251,-0.014650414446465313,False
Claude Sonnet,restatement_count_per_100words,0.13764661662176786,0.42582122770613445,0.13219853331836057,0.5016069158990971,0.005448083303407292,0.171858443990893,0.8635894593401161,0.011709767807190371,False
Claude Sonnet,question_count,0.0,0.0,0.0,0.0,0.0,,,0.0,False
Claude Sonnet,question_count_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
GPT-5,meta_count_per_100words,0.7452466779095046,2.0009464382049225,0.4501029174268859,1.4046945107043047,0.2951437604826187,2.5225362048216797,0.011864380818238039,0.1707295408427403,True
GPT-5,meta_count,0.15421686746987953,0.3806466295436731,0.10569105691056911,0.3139832767045125,0.04852581055931042,2.067709155623214,0.038987344751048675,0.13907802314867218,True
GPT-5,hedging_count_per_100words,0.08329444904023815,0.6129117160926618,0.16774061421383155,0.8915224473661728,-0.0844461651735934,-1.6801571231912256,0.09328528373554938,-0.11038605728554453,False
GPT-5,verification_count_per_100words,3.7803916833822835,3.0540018641721116,3.4528617608158987,2.8102508135542066,0.3275299225663848,1.6667951782096257,0.09592327276270976,0.11160752115256257,False
GPT-5,hedging_count,0.01927710843373494,0.13749727824276728,0.036585365853658534,0.18774151607732503,-0.017308257419923593,-1.5970713394177178,0.11060552144666805,-0.10518639613177466,False
GPT-5,first_person_plural_per_100words,0.10052239031313223,0.7877373902514554,0.17750936515019916,1.1769618971712066,-0.07698697483706693,-1.171302368188973,0.2418007165546806,-0.07687617035893868,False
