Model,Scenario,F-statistic,df_between,df_within,p-value,η²,N_total,N_Low,N_Middle,N_High,Mean_Low,Mean_Middle,Mean_High,SD_Low,SD_Middle,SD_High
Claude Sonnet,challenging_conditions,2.484261501210666,2,12,0.12509018282571238,0.29280821917808175,15,5,4,6,93.79310344827586,97.41379310344828,94.25287356321842,3.7773969483114893,1.7241379310344769,1.7806819982562923
Claude Sonnet,moderate_stress,1.9084668192219756,2,12,0.19070132971262835,0.24131944444444592,15,5,4,6,94.48275862068965,97.41379310344828,94.25287356321839,3.931639396893579,1.7241379310344769,1.7806819982562923
Claude Sonnet,optimal_conditions,1.4973070017953363,2,12,0.2627094730928217,0.1997126436781624,15,5,4,6,94.48275862068965,97.41379310344828,94.25287356321839,3.931639396893579,1.7241379310344769,2.815505451474922
GPT-5,challenging_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
GPT-5,moderate_stress,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
GPT-5,optimal_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
Gemini 2.5 Flash,challenging_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
Gemini 2.5 Flash,moderate_stress,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
Gemini 2.5 Flash,optimal_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
