model,feature,low_mean,low_std,high_mean,high_std,mean_diff,t_statistic,p_value,cohens_d,significant
Claude Sonnet,first_person,1.9292682926829268,1.4641644420572746,0.540650406504065,0.7626800625323752,1.3886178861788618,17.322308702863523,1.197904570841635e-54,1.1895370535563008,True
Claude Sonnet,first_person_per_100words,2.6456983668055476,1.936848206967297,0.7916376841643072,1.1687437451760574,1.8540606826412405,16.95765737065048,1.285661727035202e-53,1.1590887267126786,True
Claude Sonnet,first_person_plural_per_100words,0.18528346839276735,0.557074407961346,0.7949665092888977,1.2829227927333626,-0.6096830408961303,-9.509043626120159,3.0614976266374085e-20,-0.616467173618442,True
Claude Sonnet,first_person_plural,0.13414634146341464,0.38768214041764965,0.5264227642276422,0.8321005158181789,-0.3922764227642276,-9.304010380621886,1.5868510712385547e-19,-0.604329251794534,True
Claude Sonnet,meta_count,1.5634146341463415,1.0761847918119385,1.0121951219512195,0.9752285840743783,0.551219512195122,7.98221266204718,4.7435907146138014e-15,0.5367550237150596,True
Claude Sonnet,avg_word_length,4.591753220530808,0.48630152211323263,4.831940516744579,0.5353699369213815,-0.24018729621377144,-7.046183776810698,3.674091451647156e-12,-0.4696436579436604,True
Claude Sonnet,meta_count_per_100words,2.1726773634082246,1.5564113705674116,1.4767030484449952,1.4634089988347492,0.6959743149632294,6.862831186465506,1.3014722409914455e-11,0.4607191206081688,True
Claude Sonnet,word_count,73.1,17.085502340987883,66.82926829268293,17.211835272519437,6.2707317073170685,5.464014010108818,6.074270795762815e-08,0.3656662355610771,True
Claude Sonnet,unique_word_ratio,0.6404151739202562,0.06769673128176432,0.6633031797697657,0.08815980678982266,-0.022888005849509563,-4.402008861368904,1.2020499341589302e-05,-0.2912068570129467,True
Claude Sonnet,sentence_count,5.012195121951219,1.5687022944958973,4.571138211382114,1.5331765755424005,0.4410569105691051,4.243261576353983,2.4412125495746864e-05,0.28436183685499233,True
Claude Sonnet,step_count_per_100words,0.4892255481892068,0.9306144171976435,0.29737276055295714,0.8289535243550429,0.1918527876362497,3.2350641851785373,0.0012644478445580048,0.2177050096208228,True
Claude Sonnet,step_count,0.3902439024390244,0.7956604491035719,0.24390243902439024,0.6907220613905509,0.14634146341463417,2.915454231263427,0.0036489784091968285,0.19642065532903752,True
Claude Sonnet,exclamation_count_per_100words,0.015008345447692887,0.13076152307219763,0.06292155704812885,0.3629029367155072,-0.04791321160043596,-2.721151744017248,0.006683116471942353,-0.17566005779842808,True
Claude Sonnet,verification_count_per_100words,1.027745538930235,0.7782762244267761,1.2008684815588326,1.2066755790507493,-0.17312294262859762,-2.5962513766620843,0.009587520132137966,-0.1705094601348336,True
Claude Sonnet,char_count,335.2317073170732,84.70596183419323,321.1056910569106,83.09388979014882,14.1260162601626,2.5126931301406974,0.012162302773890727,0.16835967704194407,True
Claude Sonnet,has_bullets,0.8731707317073171,0.332781617576791,0.8252032520325203,0.379793160638094,0.047967479674796754,2.0188283575181294,0.043801935211793645,0.13433938223538033,True
Claude Sonnet,restatement_count,0.10975609756097561,0.31258550287747067,0.07317073170731707,0.2681078446803439,0.03658536585365854,1.8638421271728471,0.06270532635262376,0.1256378057297569,False
Claude Sonnet,exclamation_count,0.014634146341463415,0.12008325487893826,0.032520325203252036,0.1773774327583043,-0.017886178861788622,-1.7945892431590942,0.07306806054524388,-0.11808857622940494,False
Claude Sonnet,question_count_per_100words,0.0,0.0,0.005919962112242481,0.07558101666353129,-0.005919962112242481,-1.7355892194440212,0.083263875821214,-0.11076975512434224,False
Claude Sonnet,question_count,0.0,0.0,0.006097560975609756,0.07784844716343724,-0.006097560975609756,-1.735589219444021,0.08326387582121403,-0.11076975512434224,False
Claude Sonnet,math_term_count_per_100words,0.9151121111555689,1.358058695566699,1.0437724840218845,1.4887872839789222,-0.1286603728663156,-1.3544263067322997,0.17594315287156553,-0.09029286121234747,False
Claude Sonnet,avg_sentence_length,15.849276211593283,6.791236690991104,16.67128603104213,11.82904039822139,-0.8220098194488461,-1.3033873334568191,0.1928151513968342,-0.08522765900783663,False
