Model,Scenario,F-statistic,df_between,df_within,p-value,η²,N_total,N_Low,N_Middle,N_High,Mean_Low,Mean_Middle,Mean_High,SD_Low,SD_Middle,SD_High
Claude Sonnet,challenging_conditions,2.2081784386617125,2,12,0.15255511301508357,0.26902173913043653,15,5,4,6,95.00000000000001,95.5357142857143,91.07142857142857,3.194382824999704,3.4193825277012064,4.37408882639854
Claude Sonnet,moderate_stress,2.2081784386617125,2,12,0.15255511301508357,0.26902173913043653,15,5,4,6,95.00000000000001,95.5357142857143,91.07142857142857,3.194382824999704,3.4193825277012064,4.37408882639854
Claude Sonnet,optimal_conditions,2.2081784386617125,2,12,0.15255511301508357,0.26902173913043653,15,5,4,6,95.00000000000001,95.5357142857143,91.07142857142857,3.194382824999704,3.4193825277012064,4.37408882639854
GPT-5,challenging_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
GPT-5,moderate_stress,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
GPT-5,optimal_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
Gemini 2.5 Flash,challenging_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
Gemini 2.5 Flash,moderate_stress,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
Gemini 2.5 Flash,optimal_conditions,,2,12,,0.0,15,5,4,6,100.0,100.0,100.0,0.0,0.0,0.0
